,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Economies and Consumers Annual Data | Historical,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2016,2017,2018,2019,2020,2021
Iceland,Foreign Direct Investment Inflows,Socio-economic indicators,ISK million,Current Prices,"-51,616.0","-4,423.0","-41,313.0","-36,945.9","-101,662.1",-
Ireland,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,"35,631.2","46,880.3","-13,636.2","72,449.0","30,010.9",-
Italy,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,"25,736.5","21,336.9","31,922.9","16,209.2",-348.7,-
Luxembourg,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,"28,835.6","-6,047.1","-14,195.2","13,212.8","55,797.2",-
Malta,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,"3,840.3","3,023.2","3,408.6","3,379.8","3,517.0",-
Netherlands,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,"54,001.7","14,691.6","74,271.0","43,737.8","-103,526.2",-
Norway,Foreign Direct Investment Inflows,Socio-economic indicators,NOK million,Current Prices,"-32,764.4","-48,378.4","1,836.1","143,333.9","-23,088.7",-
Portugal,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,"4,579.7","6,878.5","6,027.8","10,794.9","5,677.8",-
Spain,Foreign Direct Investment Inflows,Socio-economic indicators,EUR million,Current Prices,"28,539.8","37,236.6","45,318.8","7,606.1","8,016.7",-
Sweden,Foreign Direct Investment Inflows,Socio-economic indicators,SEK million,Current Prices,"163,819.7","135,888.8","36,688.6","95,637.5","251,828.6",-
Switzerland,Foreign Direct Investment Inflows,Socio-economic indicators,CHF million,Current Prices,"148,263.1","109,033.3","-66,652.0","-78,570.3","-45,410.3",-
Turkey,Foreign Direct Investment Inflows,Socio-economic indicators,TRY million,Current Prices,"41,303.5","40,008.8","62,170.3","52,752.5","51,412.2",-
United Kingdom,Foreign Direct Investment Inflows,Socio-economic indicators,GBP million,Current Prices,"191,684.9","74,814.7","48,953.9","35,616.5","15,433.4",-
,,,,,,,,,,
Research Sources:,,,,,,,,,,
Foreign Direct Investment Inflows: Euromonitor International from UNCTAD,,,,,,,,,,
,,,,,,,,,,
Date Exported (GMT): 21/2/2565 15:56:57,,,,,,,,,,
© Euromonitor International,,,,,,,,,,
